,coverage,month,station_code,station_type,year
392,covered,3,5578,precipitation,2017
393,covered,4,5578,precipitation,2017
394,covered,5,5578,precipitation,2017
395,covered,6,5578,precipitation,2017
396,covered,7,5578,precipitation,2017
397,covered,8,5578,precipitation,2017
398,covered,9,5578,precipitation,2017
399,covered,10,5578,precipitation,2017
400,covered,11,5578,precipitation,2017
401,covered,12,5578,precipitation,2017
402,covered,1,5578,precipitation,2018
403,covered,2,5578,precipitation,2018
404,covered,3,5578,precipitation,2018
405,covered,4,5578,precipitation,2018
406,covered,5,5578,precipitation,2018
407,covered,6,5578,precipitation,2018
408,covered,7,5578,precipitation,2018
409,covered,8,5578,precipitation,2018
410,covered,9,5578,precipitation,2018
411,covered,10,5578,precipitation,2018
412,covered,11,5578,precipitation,2018
413,covered,12,5578,precipitation,2018
414,covered,1,5578,precipitation,2019
415,covered,2,5578,precipitation,2019
416,covered,3,5578,precipitation,2019
417,covered,4,5578,precipitation,2019
418,covered,5,5578,precipitation,2019
419,covered,6,5578,precipitation,2019
420,covered,1,5596,precipitation,2011
421,covered,2,5596,precipitation,2011
422,covered,3,5596,precipitation,2011
423,covered,4,5596,precipitation,2011
424,covered,5,5596,precipitation,2011
425,covered,6,5596,precipitation,2011
426,covered,7,5596,precipitation,2011
427,covered,8,5596,precipitation,2011
428,covered,9,5596,precipitation,2011
429,covered,10,5596,precipitation,2011
430,covered,11,5596,precipitation,2011
431,covered,12,5596,precipitation,2011
432,covered,1,5596,precipitation,2012
433,covered,2,5596,precipitation,2012
434,covered,3,5596,precipitation,2012
435,covered,4,5596,precipitation,2012
436,covered,5,5596,precipitation,2012
437,covered,6,5596,precipitation,2012
438,covered,7,5596,precipitation,2012
439,covered,8,5596,precipitation,2012
440,covered,9,5596,precipitation,2012
441,covered,10,5596,precipitation,2012
442,covered,11,5596,precipitation,2012
443,covered,12,5596,precipitation,2012
444,covered,1,5596,precipitation,2013
445,covered,2,5596,precipitation,2013
446,covered,3,5596,precipitation,2013
447,covered,4,5596,precipitation,2013
448,covered,5,5596,precipitation,2013
449,covered,6,5596,precipitation,2013
450,covered,7,5596,precipitation,2013
451,covered,8,5596,precipitation,2013
452,covered,9,5596,precipitation,2013
453,covered,10,5596,precipitation,2013
454,covered,11,5596,precipitation,2013
455,covered,12,5596,precipitation,2013
456,covered,1,5596,precipitation,2014
457,covered,2,5596,precipitation,2014
458,covered,3,5596,precipitation,2014
459,covered,4,5596,precipitation,2014
460,covered,5,5596,precipitation,2014
461,covered,6,5596,precipitation,2014
462,covered,7,5596,precipitation,2014
463,covered,8,5596,precipitation,2014
464,covered,9,5596,precipitation,2014
465,covered,10,5596,precipitation,2014
466,covered,11,5596,precipitation,2014
467,covered,12,5596,precipitation,2014
468,covered,1,5596,precipitation,2015
469,covered,2,5596,precipitation,2015
470,covered,3,5596,precipitation,2015
471,covered,4,5596,precipitation,2015
472,covered,5,5596,precipitation,2015
473,covered,6,5596,precipitation,2015
474,covered,7,5596,precipitation,2015
475,covered,8,5596,precipitation,2015
476,covered,9,5596,precipitation,2015
477,covered,10,5596,precipitation,2015
478,covered,11,5596,precipitation,2015
479,covered,12,5596,precipitation,2015
480,covered,1,5596,precipitation,2016
481,covered,2,5596,precipitation,2016
482,covered,3,5596,precipitation,2016
483,covered,4,5596,precipitation,2016
484,covered,5,5596,precipitation,2016
485,covered,6,5596,precipitation,2016
486,covered,7,5596,precipitation,2016
487,covered,8,5596,precipitation,2016
488,covered,9,5596,precipitation,2016
489,covered,10,5596,precipitation,2016
490,covered,11,5596,precipitation,2016
491,covered,12,5596,precipitation,2016
492,covered,1,5596,precipitation,2017
493,covered,2,5596,precipitation,2017
494,covered,3,5596,precipitation,2017
495,covered,4,5596,precipitation,2017
496,covered,5,5596,precipitation,2017
497,covered,6,5596,precipitation,2017
498,covered,7,5596,precipitation,2017
499,covered,8,5596,precipitation,2017
500,covered,9,5596,precipitation,2017
501,covered,10,5596,precipitation,2017
502,covered,11,5596,precipitation,2017
503,covered,12,5596,precipitation,2017
504,covered,1,5596,precipitation,2018
505,covered,2,5596,precipitation,2018
506,covered,3,5596,precipitation,2018
507,covered,4,5596,precipitation,2018
508,covered,5,5596,precipitation,2018
509,covered,6,5596,precipitation,2018
510,covered,7,5596,precipitation,2018
511,covered,8,5596,precipitation,2018
512,covered,9,5596,precipitation,2018
513,covered,10,5596,precipitation,2018
514,covered,11,5596,precipitation,2018
515,covered,12,5596,precipitation,2018
516,covered,1,5596,precipitation,2019
517,covered,2,5596,precipitation,2019
518,covered,3,5596,precipitation,2019
519,covered,4,5596,precipitation,2019
520,covered,5,5596,precipitation,2019
521,covered,6,5596,precipitation,2019
522,covered,1,5649,precipitation,2002
523,covered,2,5649,precipitation,2002
524,covered,3,5649,precipitation,2002
525,covered,4,5649,precipitation,2002
526,covered,5,5649,precipitation,2002
527,covered,6,5649,precipitation,2002
528,covered,7,5649,precipitation,2002
529,covered,8,5649,precipitation,2002
530,covered,9,5649,precipitation,2002
531,covered,10,5649,precipitation,2002
532,covered,11,5649,precipitation,2002
533,covered,12,5649,precipitation,2002
534,covered,1,5649,precipitation,2003
535,covered,2,5649,precipitation,2003
536,covered,3,5649,precipitation,2003
537,covered,4,5649,precipitation,2003
538,covered,5,5649,precipitation,2003
539,covered,6,5649,precipitation,2003
540,covered,7,5649,precipitation,2003
541,covered,8,5649,precipitation,2003
542,covered,9,5649,precipitation,2003
543,covered,10,5649,precipitation,2003
544,covered,11,5649,precipitation,2003
545,covered,12,5649,precipitation,2003
546,covered,1,5649,precipitation,2004
547,covered,2,5649,precipitation,2004
548,covered,3,5649,precipitation,2004
549,covered,4,5649,precipitation,2004
550,covered,5,5649,precipitation,2004
551,covered,6,5649,precipitation,2004
552,covered,7,5649,precipitation,2004
553,covered,8,5649,precipitation,2004
554,covered,9,5649,precipitation,2004
555,covered,10,5649,precipitation,2004
556,covered,11,5649,precipitation,2004
557,covered,12,5649,precipitation,2004
558,covered,1,5649,precipitation,2005
559,covered,2,5649,precipitation,2005
560,covered,3,5649,precipitation,2005
561,covered,4,5649,precipitation,2005
562,covered,5,5649,precipitation,2005
563,covered,6,5649,precipitation,2005
564,covered,7,5649,precipitation,2005
565,covered,8,5649,precipitation,2005
566,covered,9,5649,precipitation,2005
567,covered,10,5649,precipitation,2005
568,covered,11,5649,precipitation,2005
569,covered,12,5649,precipitation,2005
570,covered,1,5649,precipitation,2006
571,covered,2,5649,precipitation,2006
572,covered,3,5649,precipitation,2006
573,covered,4,5649,precipitation,2006
574,covered,5,5649,precipitation,2006
575,covered,6,5649,precipitation,2006
576,covered,7,5649,precipitation,2006
577,covered,8,5649,precipitation,2006
578,covered,9,5649,precipitation,2006
579,covered,10,5649,precipitation,2006
580,covered,11,5649,precipitation,2006
581,covered,12,5649,precipitation,2006
582,covered,1,5649,precipitation,2007
583,covered,2,5649,precipitation,2007
584,covered,3,5649,precipitation,2007
585,covered,4,5649,precipitation,2007
586,covered,5,5649,precipitation,2007
587,covered,6,5649,precipitation,2007
588,covered,7,5649,precipitation,2007
589,covered,8,5649,precipitation,2007
590,covered,9,5649,precipitation,2007
591,covered,10,5649,precipitation,2007
592,covered,11,5649,precipitation,2007
593,covered,12,5649,precipitation,2007
594,covered,1,5649,precipitation,2008
595,covered,2,5649,precipitation,2008
596,covered,3,5649,precipitation,2008
597,covered,4,5649,precipitation,2008
598,covered,5,5649,precipitation,2008
599,covered,6,5649,precipitation,2008
600,covered,7,5649,precipitation,2008
601,covered,8,5649,precipitation,2008
602,covered,9,5649,precipitation,2008
603,covered,10,5649,precipitation,2008
604,covered,11,5649,precipitation,2008
605,covered,12,5649,precipitation,2008
606,covered,1,5649,precipitation,2009
607,covered,2,5649,precipitation,2009
608,covered,3,5649,precipitation,2009
609,covered,4,5649,precipitation,2009
610,covered,5,5649,precipitation,2009
611,covered,6,5649,precipitation,2009
612,covered,7,5649,precipitation,2009
613,covered,8,5649,precipitation,2009
614,covered,9,5649,precipitation,2009
615,covered,10,5649,precipitation,2009
616,covered,11,5649,precipitation,2009
617,covered,12,5649,precipitation,2009
618,covered,1,5649,precipitation,2010
619,covered,2,5649,precipitation,2010
620,covered,3,5649,precipitation,2010
621,covered,4,5649,precipitation,2010
622,covered,5,5649,precipitation,2010
623,covered,6,5649,precipitation,2010
624,covered,7,5649,precipitation,2010
625,covered,8,5649,precipitation,2010
626,covered,9,5649,precipitation,2010
627,covered,10,5649,precipitation,2010
628,covered,11,5649,precipitation,2010
629,covered,12,5649,precipitation,2010
630,covered,1,5649,precipitation,2011
631,covered,2,5649,precipitation,2011
632,covered,3,5649,precipitation,2011
633,covered,4,5649,precipitation,2011
634,covered,5,5649,precipitation,2011
635,covered,6,5649,precipitation,2011
636,covered,7,5649,precipitation,2011
637,covered,8,5649,precipitation,2011
638,covered,9,5649,precipitation,2011
639,covered,10,5649,precipitation,2011
640,covered,11,5649,precipitation,2011
641,covered,12,5649,precipitation,2011
642,covered,1,5649,precipitation,2012
643,covered,2,5649,precipitation,2012
644,covered,3,5649,precipitation,2012
645,covered,4,5649,precipitation,2012
646,covered,5,5649,precipitation,2012
647,covered,6,5649,precipitation,2012
648,covered,7,5649,precipitation,2012
649,covered,8,5649,precipitation,2012
650,covered,9,5649,precipitation,2012
651,covered,10,5649,precipitation,2012
652,covered,11,5649,precipitation,2012
653,covered,12,5649,precipitation,2012
654,covered,1,5649,precipitation,2013
655,covered,2,5649,precipitation,2013
656,covered,3,5649,precipitation,2013
657,covered,4,5649,precipitation,2013
658,covered,5,5649,precipitation,2013
659,covered,6,5649,precipitation,2013
660,covered,7,5649,precipitation,2013
661,covered,8,5649,precipitation,2013
662,covered,9,5649,precipitation,2013
663,covered,10,5649,precipitation,2013
664,covered,11,5649,precipitation,2013
665,covered,12,5649,precipitation,2013
666,covered,1,5649,precipitation,2014
667,covered,2,5649,precipitation,2014
668,covered,3,5649,precipitation,2014
669,covered,4,5649,precipitation,2014
670,covered,5,5649,precipitation,2014
671,covered,6,5649,precipitation,2014
672,covered,7,5649,precipitation,2014
673,covered,8,5649,precipitation,2014
674,covered,9,5649,precipitation,2014
675,covered,10,5649,precipitation,2014
676,covered,11,5649,precipitation,2014
677,covered,12,5649,precipitation,2014
678,covered,1,5649,precipitation,2015
679,covered,2,5649,precipitation,2015
680,covered,3,5649,precipitation,2015
681,covered,4,5649,precipitation,2015
682,covered,5,5649,precipitation,2015
683,covered,6,5649,precipitation,2015
684,covered,7,5649,precipitation,2015
685,covered,8,5649,precipitation,2015
686,covered,9,5649,precipitation,2015
687,covered,10,5649,precipitation,2015
688,covered,11,5649,precipitation,2015
689,covered,12,5649,precipitation,2015
690,covered,1,5649,precipitation,2016
691,covered,2,5649,precipitation,2016
692,covered,3,5649,precipitation,2016
693,covered,4,5649,precipitation,2016
694,covered,5,5649,precipitation,2016
695,covered,6,5649,precipitation,2016
696,covered,7,5649,precipitation,2016
697,covered,8,5649,precipitation,2016
698,covered,9,5649,precipitation,2016
699,covered,10,5649,precipitation,2016
700,covered,11,5649,precipitation,2016
701,covered,12,5649,precipitation,2016
702,covered,1,5649,precipitation,2017
703,covered,2,5649,precipitation,2017
704,covered,3,5649,precipitation,2017
705,covered,4,5649,precipitation,2017
706,covered,5,5649,precipitation,2017
707,covered,6,5649,precipitation,2017
708,covered,7,5649,precipitation,2017
709,covered,8,5649,precipitation,2017
710,covered,9,5649,precipitation,2017
711,covered,10,5649,precipitation,2017
712,covered,11,5649,precipitation,2017
713,covered,12,5649,precipitation,2017
714,covered,1,5649,precipitation,2018
715,covered,2,5649,precipitation,2018
716,covered,3,5649,precipitation,2018
717,covered,4,5649,precipitation,2018
718,covered,5,5649,precipitation,2018
719,covered,6,5649,precipitation,2018
720,covered,7,5649,precipitation,2018
721,covered,8,5649,precipitation,2018
722,covered,9,5649,precipitation,2018
723,covered,10,5649,precipitation,2018
724,covered,11,5649,precipitation,2018
725,covered,12,5649,precipitation,2018
726,covered,1,5649,precipitation,2019
727,covered,2,5649,precipitation,2019
728,covered,3,5649,precipitation,2019
729,covered,4,5649,precipitation,2019
730,covered,5,5649,precipitation,2019
731,covered,6,5649,precipitation,2019
732,covered,1,5757,precipitation,2002
733,covered,2,5757,precipitation,2002
734,covered,3,5757,precipitation,2002
735,covered,4,5757,precipitation,2002
736,covered,5,5757,precipitation,2002
737,covered,6,5757,precipitation,2002
738,covered,7,5757,precipitation,2002
739,covered,8,5757,precipitation,2002
740,covered,9,5757,precipitation,2002
741,covered,10,5757,precipitation,2002
742,covered,11,5757,precipitation,2002
743,covered,12,5757,precipitation,2002
744,covered,1,5757,precipitation,2003
745,covered,2,5757,precipitation,2003
746,covered,3,5757,precipitation,2003
747,covered,4,5757,precipitation,2003
748,covered,5,5757,precipitation,2003
749,covered,6,5757,precipitation,2003
750,covered,7,5757,precipitation,2003
751,covered,8,5757,precipitation,2003
752,covered,9,5757,precipitation,2003
753,covered,10,5757,precipitation,2003
754,covered,11,5757,precipitation,2003
755,covered,12,5757,precipitation,2003
756,covered,1,5757,precipitation,2004
757,covered,2,5757,precipitation,2004
758,covered,3,5757,precipitation,2004
759,covered,4,5757,precipitation,2004
760,covered,5,5757,precipitation,2004
761,covered,6,5757,precipitation,2004
762,covered,7,5757,precipitation,2004
763,covered,8,5757,precipitation,2004
764,covered,9,5757,precipitation,2004
765,covered,10,5757,precipitation,2004
766,covered,11,5757,precipitation,2004
767,covered,12,5757,precipitation,2004
768,covered,1,5757,precipitation,2005
769,covered,2,5757,precipitation,2005
770,covered,3,5757,precipitation,2005
771,covered,4,5757,precipitation,2005
772,covered,5,5757,precipitation,2005
773,covered,6,5757,precipitation,2005
774,covered,7,5757,precipitation,2005
